lonnrot_id	teos_wikidata_id	teos_nimi	tekija_etunimi	tekija_sukunimi	pseudonyymi	tekija_wikidata_id	vuosi	kokoteksti_linkki	genre	kokoomateoksen nimi (jos ei alkuperäinen julkaisu)	Alunperin kokoomateoksessa
9	na	Jutelmia läheltä ja kaukaa 1	Pietari	Hannikainen		Q5787987	1882	http://www.lonnrot.net/kirjat/0009.zip	romaani		
12	na	Jutelmia läheltä ja kaukaa 2	Pietari	Hannikainen		Q5787987	1884	http://www.lonnrot.net/kirjat/0012.zip	romaani		
10	Q1219475	Seitsemän veljestä	Aleksis	Kivi		Q216904	1870	http://www.lonnrot.net/kirjat/0010.zip	romaani		
13	na	Purjehtijat	Uuno	Kailas		Q2915529	1925	http://www.lonnrot.net/kirjat/0013.zip	lyriikka		
14	na	Lehtolapsi	Kasimir	Leino		Q5945346	1905	http://www.lonnrot.net/kirjat/0014.zip	draama		
15	Q18679627	Uni ja kuolema	Uuno	Kailas		Q2915529	1931	http://www.lonnrot.net/kirjat/0015.zip	lyriikka		
20	na	Kansanlauluja	Elias	Lönnrot		Q153159	1909	http://www.lonnrot.net/kirjat/0020.zip	lyriikka		
21	na	Lohilastuja ja kalakaskuja	Juhani	Aho		Q348623	1921	http://www.lonnrot.net/kirjat/0021.zip	novelleja		
22	na	Runoelmia	Paavo	Cajander		Q2483823	1914	http://www.lonnrot.net/kirjat/0022.zip	lyriikka		
25	na	Samuel Cröell	Arvid	Järnefelt		Q717186	1899	http://www.lonnrot.net/kirjat/0025.zip	draama		
26	Q11865273	Isänmaa	Arvid	Järnefelt		Q717186	1893	http://www.lonnrot.net/kirjat/0026.zip	romaani		
27	na	Siihen aikaan kun isä lampun osti	Juhani	Aho		Q348623	1883	http://www.lonnrot.net/kirjat/0027.zip	novelleja	Ensimmäiset novellit	
28	na	Hellmannin herra, Esimerkin vuoksi	Juhani	Aho		Q348623	1886	http://www.lonnrot.net/kirjat/0028.zip	novelleja	Hellmannin herra, Esimerkin vuoksi, Maailman murjoma	
29	na	Huutolaiset	Theodolinda	Hahnsson		Q1544350	1887	http://www.lonnrot.net/kirjat/0029.zip	romaani		
32	na	Äärimmäisessä talossa	Matti	Kurikka		Q6791696	1899	http://www.lonnrot.net/kirjat/0032.zip	romaani		
33	na	Tapani Löfvingin seikkailut Isonvihan aikana hänen oman päiväkirjansa pohjalla	Kyösti	Wilkuna		Q6242329	1911–1912	http://www.lonnrot.net/kirjat/0033.zip	romaani		
34	na	Helsinkiin	Aho	Juhani		Q348623	1889	http://www.lonnrot.net/kirjat/0034.zip	romaani		
38	na	Ristiaallokossa	Kasimir	Leino		Q5945346	1890	http://www.lonnrot.net/kirjat/0038.zip	romaani		
39	na	Tuuli ja tähkä ynnä muita runoja	Uuno	Kailas		Q2915529	1922	http://www.lonnrot.net/kirjat/0039.zip	lyriikka		
16	na	Maaliskuun lauluja	Eino	Leino		Q780727	1896	http://www.lonnrot.net/kirjat/0016.zip	lyriikka	Kootut teokset I	
16	na	Tarina suuresta tammesta y.m. runoja	Eino	Leino		Q780727	1896	http://www.lonnrot.net/kirjat/0016.zip	lyriikka	Kootut teokset I	
16	na	Yökehrääjä	Eino	Leino		Q780727	1897	http://www.lonnrot.net/kirjat/0016.zip	lyriikka	Kootut teokset I	
16	Q20916875	Sata ja yksi laulua	Eino	Leino		Q780727	1898	http://www.lonnrot.net/kirjat/0016.zip	lyriikka	Kootut teokset I	
16	na	Ajan aalloilta	Eino	Leino		Q780727	1899	http://www.lonnrot.net/kirjat/0016.zip	lyriikka	Kootut teokset I	
17	Q20916665	Hiihtäjän virsiä	Eino	Leino		Q780727	1900	http://www.lonnrot.net/kirjat/0017.zip	lyriikka	Kootut teokset II	
